Date,degC,CO2
2019-04-21 10:35:28,11.32,375.1
2019-04-21 12:35:25,11.26,354.5
2019-04-21 14:35:31,11.26,350.8
2019-04-21 16:35:28,11.08,354.4
2019-04-21 17:35:31,11.1,345.1
2019-04-21 18:35:25,11.08,345.6
2019-04-21 20:35:31,11.01,343.4
2019-04-21 22:35:28,11.1,344.1
2019-04-22 00:35:25,10.83,340.5
2019-04-22 02:35:31,11.08,345.7
2019-04-22 04:35:28,11.08,346.1
2019-04-22 05:35:31,11.03,343.8
2019-04-22 06:35:34,11.01,339.2
2019-04-22 07:35:28,11.19,342.3
2019-04-22 08:35:31,11.21,335.1
2019-04-22 09:35:25,11.21,335.3
2019-04-22 10:35:28,11.21,335.3
2019-04-22 11:35:31,11.26,334.8
2019-04-22 12:35:34,11.08,339.3
2019-04-22 13:35:28,10.94,333.9
2019-04-22 14:35:31,10.96,334.9
2019-04-22 15:35:25,11.03,340
2019-04-22 16:35:28,11.05,332.7
2019-04-22 18:35:25,11.08,325.2
2019-04-22 20:35:31,11.01,313.4
2019-04-22 22:35:28,11.21,314
2019-04-23 00:35:25,11.1,318
2019-04-23 02:35:31,11.37,299.7
2019-04-23 04:35:28,11.05,305.3
2019-04-23 06:35:25,11.01,328.4
2019-04-23 08:35:31,11.1,317.2
2019-04-23 10:35:28,11.03,313.2
2019-04-23 12:35:25,11.03,325.2
2019-04-23 14:35:31,11.14,308.3
2019-04-23 16:35:28,11.28,307.6
2019-04-23 18:35:25,11.08,315.3
2019-04-23 20:35:31,11.14,304.8
2019-04-23 22:35:28,11.57,285
2019-04-24 00:35:25,11.21,286.4
2019-04-24 02:35:31,11.5,299.1
2019-04-24 04:35:28,11.21,297.9
2019-04-24 06:35:25,11.32,293
2019-04-24 08:35:31,11.23,297.7
2019-04-24 10:35:28,11.32,302.2
2019-04-24 12:35:25,11.52,301.4
2019-04-24 14:35:31,11.52,300.1
2019-04-24 16:35:28,11.35,299.5
2019-04-24 18:35:25,11.37,295.2
2019-04-24 20:35:31,11.39,289.1
2019-04-24 22:35:28,11.46,285.9
2019-04-25 00:35:25,11.17,316
2019-04-25 02:35:31,11.59,291.4
2019-04-25 04:35:28,11.32,294.6
2019-04-25 06:35:25,11.19,311.4
2019-04-25 08:35:31,11.1,318.8
2019-04-25 10:35:28,11.03,318.3
2019-04-25 12:35:25,10.54,381.1
2019-04-25 14:35:22,10.67,340.9
2019-04-25 16:35:28,10.61,391.6
2019-04-25 18:35:25,10.29,462.8
2019-04-25 20:35:31,10.72,371.6
2019-04-25 22:35:19,10.83,378.5
2019-04-26 00:35:25,10.72,409
2019-04-26 02:35:31,10.52,439.6
2019-04-26 04:35:28,10.27,472.5
2019-04-26 06:35:25,10.29,536.1
2019-04-26 08:35:22,9.98,554.8
2019-04-26 10:35:28,9.45,659.1
2019-04-26 12:35:25,10.09,562.3
2019-04-26 14:35:22,10.05,508.6
2019-04-26 16:35:28,9.76,560.1
2019-04-26 18:35:25,9.85,564.2
2019-04-26 20:35:22,10.18,495.1
2019-04-26 22:35:28,10.05,540
2019-04-27 00:35:25,10.49,506.3
2019-04-27 02:35:22,10.47,472.6
2019-04-27 04:35:28,10.45,460.6
2019-04-27 06:35:25,10.49,469.1
2019-04-27 08:35:31,10.58,479
2019-04-27 10:35:28,10.09,537
2019-04-27 14:35:22,9.76,610.5
2019-04-27 16:35:28,10.2,544.7
2019-04-27 18:35:25,10.2,543.6
2019-04-27 20:35:22,10.14,562.6
2019-04-27 22:35:28,10.18,563.4
2019-04-28 00:35:25,10.07,597.8
2019-04-28 02:35:31,10.11,611.8
2019-04-28 04:35:28,10.02,618.2
2019-04-28 06:35:25,9.85,626
2019-04-28 08:35:31,9.27,744.3
2019-04-28 10:35:28,9.36,714
2019-04-28 12:35:25,8.98,840.2
2019-04-28 14:35:31,9.4,714.3
2019-04-28 16:35:28,9.38,718.8
2019-04-28 18:35:25,9.58,691.1
2019-04-28 20:35:31,9.56,687.8
2019-04-28 22:35:19,9.71,673.9
2019-04-29 00:35:25,9.62,685.6
2019-04-29 02:35:22,9.6,724
2019-04-29 04:35:28,9.74,702.8
2019-04-29 06:35:25,9.16,795.6
2019-04-29 08:35:22,8.71,884.3
2019-04-29 10:35:28,9.07,809.7
2019-04-29 12:35:25,9.18,778.1
2019-04-29 14:35:22,8.82,873.6
2019-04-29 16:35:28,9.2,781.1
2019-04-29 18:35:25,9.22,755.7
2019-04-29 20:35:31,9.05,809.1
2019-04-29 22:35:28,9.02,851.6
2019-04-30 00:35:25,9.25,826.5
2019-04-30 02:35:22,9.2,841.1
2019-04-30 04:35:19,8.93,871
2019-04-30 06:35:25,8.51,984
2019-04-30 08:35:22,8.76,937.3
2019-04-30 10:35:28,7.87,1094.5
2019-04-30 12:35:25,8.31,1006.7
2019-04-30 14:35:22,7.94,1081.4
2019-04-30 16:35:19,8.27,1032.7
2019-04-30 18:35:25,8.91,880.5
2019-04-30 20:35:22,8.82,854.8
2019-04-30 22:35:28,9.13,826.4
2019-05-01 00:35:25,9.36,777.3
2019-05-01 02:35:22,9.11,809.6
2019-05-01 04:35:19,9.13,810
2019-05-01 08:35:22,9.2,794.7
2019-05-01 10:35:28,9.13,797.3
2019-05-01 12:35:25,9.25,776.8
2019-05-01 14:35:22,9.49,680.6
2019-05-01 16:35:28,9.49,635.6
2019-05-01 18:35:25,9.69,603.6
2019-05-01 20:35:22,9.71,566.6
2019-05-01 22:35:28,9.53,634.9
2019-05-02 00:35:25,10,539.1
2019-05-02 02:35:22,9.2,766.7
2019-05-02 04:35:19,9.62,624.3
2019-05-02 06:35:25,9.22,736.9
2019-05-02 08:35:22,9.07,795.7
2019-05-02 10:35:19,9.25,729.8
2019-05-02 12:35:25,9.45,664.7
2019-05-02 14:35:22,9.33,734.2
2019-05-02 16:35:19,9.62,592.9
2019-05-02 18:35:25,9.42,652.7
2019-05-02 20:35:22,9.56,591.6
2019-05-02 22:35:28,9.56,565.9
2019-05-03 00:35:25,9.91,576.3
2019-05-03 02:35:22,9.47,624.8
2019-05-03 04:35:19,8.93,808
2019-05-03 06:35:25,9.07,750.6
2019-05-03 08:35:22,9.49,610.3
2019-05-03 10:35:19,9.29,637.9
2019-05-03 12:35:25,9.8,674.9
2019-05-03 14:35:22,8.58,914.8
2019-05-03 16:35:19,8.71,875.5
2019-05-03 18:35:25,8.69,871.2
2019-05-03 20:35:22,9.13,765.2
2019-05-03 22:35:19,9.53,725.6
2019-05-04 00:35:25,9.38,733
2019-05-04 02:35:22,9.02,827.5
2019-05-04 04:35:19,8.85,892.9
2019-05-04 06:35:25,8.89,901.1
2019-05-04 08:35:22,8.96,893.5
2019-05-04 10:35:28,8.8,850.9
2019-05-04 12:35:25,8.27,1017
2019-05-04 14:35:22,8.11,1064.2
2019-05-04 18:35:25,8.82,897.3
2019-05-04 20:35:22,8.91,774.9
2019-05-04 22:35:19,8.56,891.2
2019-05-05 00:35:25,8.49,956.9
2019-05-05 02:35:22,8.45,987.7
2019-05-05 04:35:19,8.36,1002.4
2019-05-05 06:35:25,8.42,995.7
2019-05-05 08:35:22,8.2,1015
2019-05-05 10:35:28,8.49,994.6
2019-05-05 12:35:25,7.85,1105.1
2019-05-05 14:35:22,7.87,1112.2
2019-05-05 16:35:19,7.98,1038.6
2019-05-05 18:35:25,8.18,979.1
2019-05-05 20:35:22,8.29,942.6
2019-05-05 22:35:19,8.31,986.4
2019-05-06 00:35:25,8.33,966.3
2019-05-06 02:35:22,8.29,946.4
2019-05-06 04:35:28,8.16,986.8
2019-05-06 06:35:25,8.02,1018.2
2019-05-06 08:35:22,7.98,1025.3
2019-05-06 10:35:19,7.82,1055.9
2019-05-06 12:35:25,7.78,1016.7
2019-05-06 14:35:22,7.69,1041
2019-05-06 16:35:19,7.38,1105.5
2019-05-06 18:35:25,7.63,1053.3
2019-05-06 20:35:22,7.65,999.3
2019-05-06 22:35:19,7.71,987.8
2019-05-07 00:35:25,7.78,962.3
2019-05-07 02:35:22,7.89,956.7
