subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ASHS,MJ03B,10-CTDPFB304,ctdpf_optode_sample,{'inp': 'sea_water_practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.2795, 34.57471], 'fail_span': [0, 42]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03INT2,MJ03D,11-CTDPFB307,ctdpf_optode_sample,{'inp': 'sea_water_electrical_conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.12995, 3.14917], 'fail_span': [0, 9]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ASHS,MJ03B,10-CTDPFB304,ctdpf_optode_sample,{'inp': 'sea_water_pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [1555.93298, 1560.34291], 'fail_span': [0, 6000]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ECAL,MJ03E,12-CTDPFB306,ctdpf_optode_sample,{'inp': 'sea_water_temperature'},"{'qartod': {'gross_range_test': {'suspect_span': [2.22532, 2.45786], 'fail_span': [-5, 35]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03INT2,MJ03D,11-CTDPFB307,ctdpf_optode_sample,{'inp': 'sea_water_practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.51881, 34.54577], 'fail_span': [0, 42]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03CCAL,MJ03F,12-CTDPFB305,ctdpf_optode_sample,{'inp': 'sea_water_practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.42029, 34.54473], 'fail_span': [0, 42]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ECAL,MJ03E,12-CTDPFB306,ctdpf_optode_sample,{'inp': 'sea_water_practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.46168, 34.56424], 'fail_span': [0, 42]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03INT2,MJ03D,11-CTDPFB307,ctdpf_optode_sample,{'inp': 'sea_water_pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [1544.29901, 1547.94931], 'fail_span': [0, 6000]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ASHS,MJ03B,10-CTDPFB304,ctdpf_optode_sample,{'inp': 'sea_water_temperature'},"{'qartod': {'gross_range_test': {'suspect_span': [2.27283, 2.80033], 'fail_span': [-5, 35]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ASHS,MJ03B,10-CTDPFB304,ctdpf_optode_sample,{'inp': 'sea_water_electrical_conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.12371, 3.17618], 'fail_span': [0, 9]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03CCAL,MJ03F,12-CTDPFB305,ctdpf_optode_sample,{'inp': 'sea_water_pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [1538.67983, 1547.14128], 'fail_span': [0, 6000]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ECAL,MJ03E,12-CTDPFB306,ctdpf_optode_sample,{'inp': 'sea_water_pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [1533.97001, 1539.98716], 'fail_span': [0, 6000]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03CCAL,MJ03F,12-CTDPFB305,ctdpf_optode_sample,{'inp': 'sea_water_electrical_conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.12831, 3.14694], 'fail_span': [0, 9]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03ECAL,MJ03E,12-CTDPFB306,ctdpf_optode_sample,{'inp': 'sea_water_electrical_conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.12669, 3.14463], 'fail_span': [0, 9]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03INT2,MJ03D,11-CTDPFB307,ctdpf_optode_sample,{'inp': 'sea_water_temperature'},"{'qartod': {'gross_range_test': {'suspect_span': [2.23873, 2.48061], 'fail_span': [-5, 35]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
subsite,node,sensor,stream,parameter,qcConfig,source,notes
RS03CCAL,MJ03F,12-CTDPFB305,ctdpf_optode_sample,{'inp': 'sea_water_temperature'},"{'qartod': {'gross_range_test': {'suspect_span': [2.24226, 2.45446], 'fail_span': [-5, 35]}}}",,"User range based on percentiles of the observations, which are not normally distributed. Percentiles were chosen to cover 99.7% of the data, approximating the Empirical Rule."
